,Candidate Name,Party,Criminal Cases,Education,Age,Assets,Liabilities,District,Election,EduRank
103,Sitanath Ghosh,AITC,0,12th Pass,67,"Rs 2,39,11,229 ~ 2 Crore+",Rs 0 ~,HOWRAH,WestBengal2021,0
104,Siyabaddin Kaji,IND,0,5th Pass,53,"Rs 21,06,800 ~ 21 Lacs+",Rs 0 ~,HOWRAH,WestBengal2021,0
105,Sk Bosir Ahmed,CPI(M),0,Graduate,54,"Rs 29,18,523 ~ 29 Lacs+",Rs 0 ~,HOWRAH,WestBengal2021,7
106,Sk Kutub Uddin Ahmed,AIFB,0,Post Graduate,71,"Rs 3,48,44,295 ~ 3 Crore+",Rs 0 ~,HOWRAH,WestBengal2021,0
107,Sk Sabbir Ahmed,Rashtriya Secular Majlis Party,0,Graduate Professional,45,"Rs 98,08,991 ~ 98 Lacs+",Rs 0 ~,HOWRAH,WestBengal2021,0
108,Sk. Shamim Hossain,IND,0,10th Pass,26,"Rs 12,380 ~ 12 Thou+",Rs 0 ~,HOWRAH,WestBengal2021,0
109,Srikumar Naskar,IND,0,8th Pass,48,"Rs 62,000 ~ 62 Thou+",Rs 0 ~,HOWRAH,WestBengal2021,0
110,Subhas Santra,IND,0,8th Pass,30,"Rs 14,23,000 ~ 14 Lacs+",Rs 0 ~,HOWRAH,WestBengal2021,0
111,Subhash Kumar Singhi,IND,0,10th Pass,50,"Rs 27,000 ~ 27 Thou+",Rs 0 ~,HOWRAH,WestBengal2021,0
112,Subhasish Adhikary,IND,1,10th Pass,45,"Rs 72,630 ~ 72 Thou+",Rs 0 ~,HOWRAH,WestBengal2021,0
113,Subir Dalui,IND,0,12th Pass,32,"Rs 24,600 ~ 24 Thou+",Rs 0 ~,HOWRAH,WestBengal2021,0
114,Subrata Mondal,IND,0,Graduate,55,"Rs 2,34,411 ~ 2 Lacs+",Rs 0 ~,HOWRAH,WestBengal2021,7
115,Sujit Mondal,IND,0,12th Pass,28,"Rs 11,000 ~ 11 Thou+",Rs 0 ~,HOWRAH,WestBengal2021,0
116,Sukanta Kumar Paul,AITC,0,Post Graduate,41,"Rs 19,39,357 ~ 19 Lacs+",Rs 0 ~,HOWRAH,WestBengal2021,0
117,Sumanta Kayal,IND,0,12th Pass,37,"Rs 28,000 ~ 28 Thou+",Rs 0 ~,HOWRAH,WestBengal2021,0
118,Sumit Ranjan Karar,BJP,2,10th Pass,48,"Rs 1,15,45,000 ~ 1 Crore+","Rs 2,56,000 ~ 2 Lacs+",HOWRAH,WestBengal2021,0
119,Sumitro Adhikary,CPI(M),0,Graduate Professional,46,"Rs 9,59,896 ~ 9 Lacs+",Rs 0 ~,HOWRAH,WestBengal2021,0
120,Sunil Sau,IND,0,12th Pass,44,"Rs 93,98,749 ~ 93 Lacs+","Rs 1,50,000 ~ 1 Lacs+",HOWRAH,WestBengal2021,0
121,Surojit Das,IND,0,12th Pass,29,"Rs 7,400 ~ 7 Thou+",Rs 0 ~,HOWRAH,WestBengal2021,0
122,Surya Kanta Ghosh,IND,0,Graduate,48,"Rs 1,97,176 ~ 1 Lacs+",Rs 0 ~,HOWRAH,WestBengal2021,7
123,Sushanta Dolui,IND,0,8th Pass,52,"Rs 5,21,000 ~ 5 Lacs+",Rs 0 ~,HOWRAH,WestBengal2021,0
124,Sushanta Mondal,IND,0,Graduate,43,"Rs 3,91,740 ~ 3 Lacs+",Rs 0 ~,HOWRAH,WestBengal2021,7
125,Suvomay Khelo,IND,0,5th Pass,28,"Rs 1,000 ~ 1 Thou+",Rs 0 ~,HOWRAH,WestBengal2021,0
126,Tanmoy Das,IND,0,12th Pass,31,"Rs 18,94,175 ~ 18 Lacs+",Rs 0 ~,HOWRAH,WestBengal2021,0
127,Tapas Dolui,IND,0,12th Pass,38,"Rs 3,00,107 ~ 3 Lacs+",Rs 0 ~,HOWRAH,WestBengal2021,0
128,Tapas Kumar Das,SUCI(C),2,12th Pass,55,"Rs 26,08,139 ~ 26 Lacs+",Rs 0 ~,HOWRAH,WestBengal2021,0
129,Tnusree Chakraborty,BJP,0,Graduate,39,"Rs 41,01,307 ~ 41 Lacs+","Rs 5,54,554 ~ 5 Lacs+",HOWRAH,WestBengal2021,7
130,Tusharkanti Mal,IND,0,10th Pass,31,"Rs 3,65,914 ~ 3 Lacs+",Rs 0 ~,HOWRAH,WestBengal2021,0
131,Ujjwala Biswas,IND,0,10th Pass,39,"Rs 1,51,897 ~ 1 Lacs+",Rs 0 ~,HOWRAH,WestBengal2021,0
132,Umesh Rai,BJP,11,Graduate,43,"Rs 31,75,684 ~ 31 Lacs+",Rs 0 ~,HOWRAH,WestBengal2021,7
133,Uttam Bera,CPI(M),4,Graduate,46,"Rs 22,500 ~ 22 Thou+",Rs 0 ~,HOWRAH,WestBengal2021,7
134,Vibekananda Mondal,IND,0,12th Pass,28,"Rs 11,953 ~ 11 Thou+",Rs 0 ~,HOWRAH,WestBengal2021,0
135,Vijay Shah,IND,0,10th Pass,50,"Rs 75,832 ~ 75 Thou+",Rs 0 ~,HOWRAH,WestBengal2021,0
136,Vinit Kumar Rai,IND,1,Graduate,37,"Rs 68,64,540 ~ 68 Lacs+","Rs 17,48,156 ~ 17 Lacs+",HOWRAH,WestBengal2021,7
0,Amitav Naskar,RPI(A),0,Post Graduate,35,"Rs 12,60,000 ~ 12 Lacs+",Rs 0 ~,JALPAIGURI,WestBengal2021,0
1,Ashan Tirkey,IND,0,Graduate,31,"Rs 6,84,323 ~ 6 Lacs+",Rs 0 ~,JALPAIGURI,WestBengal2021,7
2,Bablu Majhi,IND,1,12th Pass,37,"Rs 5,21,096 ~ 5 Lacs+",Rs 0 ~,JALPAIGURI,WestBengal2021,0
3,Bedodyuti Roy,BSP,0,12th Pass,53,"Rs 4,63,800 ~ 4 Lacs+","Rs 33,000 ~ 33 Thou+",JALPAIGURI,WestBengal2021,0
4,Benam Oraon,Progressive Peoples Party,1,8th Pass,42,"Rs 20,101 ~ 20 Thou+",Rs 0 ~,JALPAIGURI,WestBengal2021,0
5,Bilash Sarkar,IND,0,Post Graduate,32,"Rs 1,20,000 ~ 1 Lacs+",Rs 0 ~,JALPAIGURI,WestBengal2021,0
6,Binay Sarkar,Amra Bangalee,0,8th Pass,50,"Rs 1,40,425 ~ 1 Lacs+","Rs 4,00,000 ~ 4 Lacs+",JALPAIGURI,WestBengal2021,0
7,Bishnu Pada Ray,BJP,1,10th Pass,58,"Rs 1,56,02,876 ~ 1 Crore+",Rs 0 ~,JALPAIGURI,WestBengal2021,0
8,Biswanath Roy,Kamatapur Peoples Party (United),0,12th Pass,46,"Rs 76,10,500 ~ 76 Lacs+","Rs 3,76,215 ~ 3 Lacs+",JALPAIGURI,WestBengal2021,0
9,Bulu Chik Baraik,AITC,0,8th Pass,61,"Rs 5,75,763 ~ 5 Lacs+",Rs 0 ~,JALPAIGURI,WestBengal2021,0
10,Dhiranjan Roy,SUCI(C),0,12th Pass,37,"Rs 1,87,374 ~ 1 Lacs+",Rs 0 ~,JALPAIGURI,WestBengal2021,0
11,Digbijay Mandal,IND,0,10th Pass,60,"Rs 26,23,000 ~ 26 Lacs+",Rs 0 ~,JALPAIGURI,WestBengal2021,0
12,Dilip Singh,CPI(M),5,Graduate,54,"Rs 57,31,338 ~ 57 Lacs+","Rs 1,97,702 ~ 1 Lacs+",JALPAIGURI,WestBengal2021,7
13,Dr. Pradip Kumar Barma,AITC,1,Graduate Professional,66,"Rs 2,86,61,907 ~ 2 Crore+","Rs 18,47,000 ~ 18 Lacs+",JALPAIGURI,WestBengal2021,0
14,Ganesh Mandal,BSP,0,12th Pass,54,"Rs 53,60,100 ~ 53 Lacs+","Rs 1,00,000 ~ 1 Lacs+",JALPAIGURI,WestBengal2021,0
15,Gita Oraon,SUCI(C),0,Graduate,26,"Rs 2,100 ~ 2 Thou+",Rs 0 ~,JALPAIGURI,WestBengal2021,7
16,Goutam Deb,AITC,0,Graduate Professional,64,"Rs 3,56,60,642 ~ 3 Crore+","Rs 47,98,938 ~ 47 Lacs+",JALPAIGURI,WestBengal2021,0
17,Harekrishna Sarkar,IND,0,Post Graduate,49,"Rs 1,55,30,980 ~ 1 Crore+","Rs 19,98,000 ~ 19 Lacs+",JALPAIGURI,WestBengal2021,0
18,Haridas Biswas,IND,1,10th Pass,37,"Rs 37,19,783 ~ 37 Lacs+",Rs 0 ~,JALPAIGURI,WestBengal2021,0
19,Hrishikesh Roy,IND,0,12th Pass,28,"Rs 7,11,000 ~ 7 Lacs+","Rs 7,85,000 ~ 7 Lacs+",JALPAIGURI,WestBengal2021,0
20,Iswar Barai,Amra Bangalee,0,Graduate,31,"Rs 10,000 ~ 10 Thou+",Rs 0 ~,JALPAIGURI,WestBengal2021,7
21,Joseph Munda,AITC,6,12th Pass,49,"Rs 65,53,000 ~ 65 Lacs+","Rs 1,50,000 ~ 1 Lacs+",JALPAIGURI,WestBengal2021,0
22,Kaushik Roy,BJP,4,12th Pass,37,"Rs 42,01,141 ~ 42 Lacs+","Rs 3,89,779 ~ 3 Lacs+",JALPAIGURI,WestBengal2021,0
23,Khageswar Roy,AITC,1,12th Pass,69,"Rs 63,63,026 ~ 63 Lacs+","Rs 8,20,178 ~ 8 Lacs+",JALPAIGURI,WestBengal2021,0
24,Mahesh Bagey,BJP,1,Post Graduate,41,"Rs 14,13,571 ~ 14 Lacs+",Rs 0 ~,JALPAIGURI,WestBengal2021,0
25,Maheswar Barman,IND,0,Graduate,43,"Rs 20,10,947 ~ 20 Lacs+","Rs 43,392 ~ 43 Thou+",JALPAIGURI,WestBengal2021,7
26,Maniul Islam,SUCI(C),0,Post Graduate,49,"Rs 23,49,242 ~ 23 Lacs+",Rs 0 ~,JALPAIGURI,WestBengal2021,0
27,Manoj Roy,AITC,5,Graduate,50,"Rs 1,89,82,705 ~ 1 Crore+","Rs 2,36,608 ~ 2 Lacs+",JALPAIGURI,WestBengal2021,7
28,Manu Oraon,CPI(M),0,Graduate,39,"Rs 5,70,901 ~ 5 Lacs+","Rs 1,27,561 ~ 1 Lacs+",JALPAIGURI,WestBengal2021,7
29,Mitali Roy,AITC,1,12th Pass,47,"Rs 98,97,551 ~ 98 Lacs+","Rs 19,83,000 ~ 19 Lacs+",JALPAIGURI,WestBengal2021,0
30,Naresh Chandra Roy,Revolutionary Socialist Party,0,12th Pass,66,"Rs 48,40,060 ~ 48 Lacs+","Rs 3,76,215 ~ 3 Lacs+",JALPAIGURI,WestBengal2021,0
31,Nirode Chandra Adhikari,Amra Bangalee,0,12th Pass,68,"Rs 16,52,000 ~ 16 Lacs+",Rs 0 ~,JALPAIGURI,WestBengal2021,0
32,Palendra Nath Roy,SUCI(C),0,10th Pass,41,"Rs 7,51,000 ~ 7 Lacs+","Rs 34,000 ~ 34 Thou+",JALPAIGURI,WestBengal2021,0
33,Pradip Kumar Roy,CPI(M),0,Post Graduate,46,"Rs 1,68,76,473 ~ 1 Crore+","Rs 24,37,538 ~ 24 Lacs+",JALPAIGURI,WestBengal2021,0
34,Prahlad Roy,IND,0,12th Pass,33,"Rs 1,42,000 ~ 1 Lacs+",Rs 0 ~,JALPAIGURI,WestBengal2021,0
35,Puna Bhengra,BJP,1,10th Pass,46,"Rs 13,25,061 ~ 13 Lacs+",Rs 0 ~,JALPAIGURI,WestBengal2021,0
36,Radhakrishna Namadas,BSP,0,12th Pass,47,"Rs 12,06,992 ~ 12 Lacs+",Rs 0 ~,JALPAIGURI,WestBengal2021,0
37,Rakhi Mandal,IND,0,10th Pass,42,"Rs 16,000 ~ 16 Thou+",Rs 0 ~,JALPAIGURI,WestBengal2021,0
38,Rakhi Sarkar,IND,0,Post Graduate,31,"Rs 18,000 ~ 18 Thou+",Rs 0 ~,JALPAIGURI,WestBengal2021,0
39,Ratan Kumar Roy,CPI(M),1,10th Pass,46,"Rs 2,83,014 ~ 2 Lacs+",Rs 0 ~,JALPAIGURI,WestBengal2021,0
40,Robat Munda,IND,1,8th Pass,42,"Rs 29,54,178 ~ 29 Lacs+",Rs 0 ~,JALPAIGURI,WestBengal2021,0
41,Santi Kishor Barari,BSP,0,8th Pass,61,"Rs 46,50,000 ~ 46 Lacs+",Rs 0 ~,JALPAIGURI,WestBengal2021,0
42,Shambhu Sutradhar,Amra Bangalee,0,8th Pass,59,"Rs 25,67,000 ~ 25 Lacs+",Rs 0 ~,JALPAIGURI,WestBengal2021,0
43,Shyamal Roy,SUCI(C),0,Graduate,38,"Rs 8,72,000 ~ 8 Lacs+","Rs 4,00,000 ~ 4 Lacs+",JALPAIGURI,WestBengal2021,7
44,Sikha Chatterjee,BJP,6,12th Pass,68,"Rs 69,04,653 ~ 69 Lacs+",Rs 0 ~,JALPAIGURI,WestBengal2021,0
45,Soujit Singha (Piku),BJP,0,Graduate Professional,47,"Rs 3,68,57,217 ~ 3 Crore+","Rs 10,000 ~ 10 Thou+",JALPAIGURI,WestBengal2021,0
46,Subash Biswas,IND,0,5th Pass,68,"Rs 20,50,000 ~ 20 Lacs+",Rs 0 ~,JALPAIGURI,WestBengal2021,0
47,Subhash Kumar Sarkar,BSP,0,Post Graduate,53,"Rs 21,02,000 ~ 21 Lacs+","Rs 5,00,000 ~ 5 Lacs+",JALPAIGURI,WestBengal2021,0
48,Sujan Barman,IND,0,Post Graduate,33,"Rs 2,51,000 ~ 2 Lacs+",Rs 0 ~,JALPAIGURI,WestBengal2021,0
49,Sukbir Subba,INC,0,Post Graduate,53,"Rs 45,12,039 ~ 45 Lacs+",Rs 0 ~,JALPAIGURI,WestBengal2021,0
50,Sukhbilas Barma,INC,0,Doctorate,75,"Rs 3,30,07,802 ~ 3 Crore+",Rs 0 ~,JALPAIGURI,WestBengal2021,10
51,Sukumar Roy,Kamatapur Peoples Party (United),0,Post Graduate,40,"Rs 59,55,000 ~ 59 Lacs+",Rs 0 ~,JALPAIGURI,WestBengal2021,0
52,Supen Roy,BJP,0,8th Pass,60,"Rs 4,42,81,881 ~ 4 Crore+",Rs 0 ~,JALPAIGURI,WestBengal2021,0
53,Tapati Roy (Barman),Kamatapur Peoples Party (United),0,Post Graduate,31,"Rs 1,81,700 ~ 1 Lacs+",Rs 0 ~,JALPAIGURI,WestBengal2021,0
54,Uday Roy,SUCI(C),0,12th Pass,53,"Rs 9,16,700 ~ 9 Lacs+","Rs 49,000 ~ 49 Thou+",JALPAIGURI,WestBengal2021,0
55,Uday Shankar Adhikari,CPI(ML)(L),0,8th Pass,68,"Rs 21,05,095 ~ 21 Lacs+",Rs 0 ~,JALPAIGURI,WestBengal2021,0
0,Archana Sain,SUCI(C),0,8th Pass,52,"Rs 3,70,338 ~ 3 Lacs+",Rs 0 ~,JHARGRAM,WestBengal2021,0
1,Ashoke Mahata,IND,2,12th Pass,30,"Rs 63,097 ~ 63 Thou+",Rs 0 ~,JHARGRAM,WestBengal2021,0
2,Ashutosh Rana,IND,0,Graduate,57,"Rs 63,23,000 ~ 63 Lacs+",Rs 0 ~,JHARGRAM,WestBengal2021,7
3,Bablu Murmu,Jharkhand Mukti Morcha,0,12th Pass,42,"Rs 7,000 ~ 7 Thou+",Rs 0 ~,JHARGRAM,WestBengal2021,0
4,Bakul Murmu,BJP,0,Post Graduate,52,"Rs 81,13,020 ~ 81 Lacs+",Rs 0 ~,JHARGRAM,WestBengal2021,0
5,Banamali Nayak,BSP,0,8th Pass,46,"Rs 27,500 ~ 27 Thou+",Rs 0 ~,JHARGRAM,WestBengal2021,0
6,Bidhan Chandra Sing,IND,0,8th Pass,36,"Rs 21,900 ~ 21 Thou+",Rs 0 ~,JHARGRAM,WestBengal2021,0
7,Birbaha Hansda,AITC,0,Graduate,38,"Rs 3,06,215 ~ 3 Lacs+",Rs 0 ~,JHARGRAM,WestBengal2021,7
8,Debnath Hansda,AITC,0,8th Pass,38,"Rs 3,64,500 ~ 3 Lacs+",Rs 0 ~,JHARGRAM,WestBengal2021,0
9,Dibakar Hansda,CPI(M),0,12th Pass,62,"Rs 13,34,236 ~ 13 Lacs+","Rs 4,000 ~ 4 Thou+",JHARGRAM,WestBengal2021,0
10,Dr. Khagendra Nath Mahata,AITC,0,Graduate Professional,39,"Rs 88,71,800 ~ 88 Lacs+","Rs 8,04,081 ~ 8 Lacs+",JHARGRAM,WestBengal2021,0
11,Dulal Murmu,AITC,0,Post Graduate,44,"Rs 1,20,35,096 ~ 1 Crore+",Rs 0 ~,JHARGRAM,WestBengal2021,0
12,Hamlet Baskey,IND,0,12th Pass,57,"Rs 2,08,000 ~ 2 Lacs+",Rs 0 ~,JHARGRAM,WestBengal2021,0
13,Haripada Saren,CPI(M),0,Graduate Professional,42,"Rs 16,01,822 ~ 16 Lacs+","Rs 1,94,328 ~ 1 Lacs+",JHARGRAM,WestBengal2021,0
14,Jiten Giri,IND,1,5th Pass,64,"Rs 36,200 ~ 36 Thou+",Rs 0 ~,JHARGRAM,WestBengal2021,0
15,Kalicharan Beshra,SUCI(C),0,8th Pass,36,"Rs 4,45,500 ~ 4 Lacs+",Rs 0 ~,JHARGRAM,WestBengal2021,0
16,Laxman Hansda,Amra Bangalee,0,Graduate,26,"Rs 7,073 ~ 7 Thou+",Rs 0 ~,JHARGRAM,WestBengal2021,7
17,Madhuja Sen Roy,CPI(M),3,Post Graduate,37,"Rs 11,38,011 ~ 11 Lacs+",Rs 0 ~,JHARGRAM,WestBengal2021,0
18,Madhusudan Singha,IND,1,8th Pass,44,"Rs 88,51,446 ~ 88 Lacs+",Rs 0 ~,JHARGRAM,WestBengal2021,0
19,Mangal Chandra Sardar,SHS,0,Graduate,46,"Rs 5,05,516 ~ 5 Lacs+",Rs 0 ~,JHARGRAM,WestBengal2021,7
20,Nityalal Sing,IND,0,12th Pass,25,"Rs 7,06,577 ~ 7 Lacs+",Rs 0 ~,JHARGRAM,WestBengal2021,0
21,Palan Saren,BJP,2,10th Pass,28,"Rs 10,50,135 ~ 10 Lacs+","Rs 6,70,980 ~ 6 Lacs+",JHARGRAM,WestBengal2021,0
22,Patal Chandra Murmu,BSP,0,10th Pass,44,"Rs 30,000 ~ 30 Thou+",Rs 0 ~,JHARGRAM,WestBengal2021,0
23,Prasanta Kumar Das,CPI(M),5,10th Pass,56,"Rs 1,08,44,078 ~ 1 Crore+","Rs 1,50,000 ~ 1 Lacs+",JHARGRAM,WestBengal2021,0
24,Rajesh Mahato,IND,0,Post Graduate,46,"Rs 44,47,264 ~ 44 Lacs+","Rs 25,21,593 ~ 25 Lacs+",JHARGRAM,WestBengal2021,0
25,Rajib Mudi,SUCI(C),0,Graduate,34,Rs 500 ~ 5 Hund+,Rs 0 ~,JHARGRAM,WestBengal2021,7
26,Ramkrishna Sarkar,BSP,2,Graduate Professional,73,"Rs 2,64,49,292 ~ 2 Crore+","Rs 8,00,000 ~ 8 Lacs+",JHARGRAM,WestBengal2021,0
27,Sanjit Mahata,BJP,3,8th Pass,43,"Rs 16,70,843 ~ 16 Lacs+","Rs 8,00,000 ~ 8 Lacs+",JHARGRAM,WestBengal2021,0
28,Shyam Mandi,BSP,0,12th Pass,37,"Rs 44,500 ~ 44 Thou+",Rs 0 ~,JHARGRAM,WestBengal2021,0
29,Shyamlal Hansda,IND,0,12th Pass,32,"Rs 12,000 ~ 12 Thou+",Rs 0 ~,JHARGRAM,WestBengal2021,0
30,Sibaji Mahata,IND,0,12th Pass,47,"Rs 3,94,399 ~ 3 Lacs+",Rs 0 ~,JHARGRAM,WestBengal2021,0
31,Sri Subhas Mahata,IND,1,12th Pass,42,"Rs 52,000 ~ 52 Thou+",Rs 0 ~,JHARGRAM,WestBengal2021,0
32,Sukhamay Satpathy,BJP,2,Post Graduate,52,"Rs 6,23,813 ~ 6 Lacs+",Rs 0 ~,JHARGRAM,WestBengal2021,0
33,Susanta Kumar Das,SHS,0,Post Graduate,56,"Rs 70,03,162 ~ 70 Lacs+",Rs 0 ~,JHARGRAM,WestBengal2021,0
0,Bhupendra Lepcha,IND,0,Graduate Professional,43,"Rs 12,500 ~ 12 Thou+",Rs 0 ~,KALIMPONG,WestBengal2021,0
1,Dilip Pradhan,INC,0,Post Graduate,58,"Rs 3,53,000 ~ 3 Lacs+",Rs 0 ~,KALIMPONG,WestBengal2021,0
2,Dr. R.B. Bhujel,IND,3,Doctorate,61,"Rs 1,02,30,786 ~ 1 Crore+",Rs 0 ~,KALIMPONG,WestBengal2021,10
3,Penjo Gompu Bhutia,National Peoples Party,0,Graduate,35,"Rs 2,21,78,309 ~ 2 Crore+","Rs 87,68,389 ~ 87 Lacs+",KALIMPONG,WestBengal2021,7
4,Ruden Sada Lepcha,IND,3,Graduate,51,"Rs 18,23,64,367 ~ 18 Crore+","Rs 12,10,37,237 ~ 12 Crore+",KALIMPONG,WestBengal2021,7
5,Songden Lepcha,IND,0,Graduate,34,"Rs 3,60,000 ~ 3 Lacs+",Rs 0 ~,KALIMPONG,WestBengal2021,7
6,Suva Pradhan,BJP,0,Graduate Professional,58,"Rs 1,80,03,495 ~ 1 Crore+",Rs 0 ~,KALIMPONG,WestBengal2021,0
7,Ujjwal Rai,IND,1,Post Graduate,31,"Rs 2,009 ~ 2 Thou+",Rs 0 ~,KALIMPONG,WestBengal2021,0
0,Ajay Kumar Gupta,Bharatiya Momin Front,0,12th Pass,51,"Rs 7,86,500 ~ 7 Lacs+","Rs 11,16,494 ~ 11 Lacs+",KOLKATA NORTH,WestBengal2021,0
1,Ajay Prajapati,BSP,0,12th Pass,26,"Rs 2,90,000 ~ 2 Lacs+",Rs 0 ~,KOLKATA NORTH,WestBengal2021,0
2,Ajmal Khan,INC,2,12th Pass,39,"Rs 5,200 ~ 5 Thou+",Rs 0 ~,KOLKATA NORTH,WestBengal2021,0
3,Anand Singh Kharwar,IND,1,12th Pass,27,"Rs 46,080 ~ 46 Thou+",Rs 0 ~,KOLKATA NORTH,WestBengal2021,0
4,Anil Kumar Choudhary,IND,0,12th Pass,51,"Rs 2,38,500 ~ 2 Lacs+",Rs 0 ~,KOLKATA NORTH,WestBengal2021,0
5,Anil Kumar Singh,JD(U),0,Graduate,47,"Rs 7,40,000 ~ 7 Lacs+",Rs 0 ~,KOLKATA NORTH,WestBengal2021,7
6,Arindam Roy,IND,0,8th Pass,50,"Rs 58,683 ~ 58 Thou+",Rs 0 ~,KOLKATA NORTH,WestBengal2021,0
7,Arjun Kumar Das,BSP,0,12th Pass,32,"Rs 1,19,730 ~ 1 Lacs+",Rs 0 ~,KOLKATA NORTH,WestBengal2021,0
8,Ashish Agarwal,IND,0,12th Pass,41,"Rs 44,71,471 ~ 44 Lacs+","Rs 8,15,700 ~ 8 Lacs+",KOLKATA NORTH,WestBengal2021,0
9,Ashok Das,IND,0,10th Pass,47,"Rs 4,44,111 ~ 4 Lacs+",Rs 0 ~,KOLKATA NORTH,WestBengal2021,0
10,Atin Ghosh,AITC,1,Graduate,62,"Rs 2,99,48,349 ~ 2 Crore+","Rs 19,64,606 ~ 19 Lacs+",KOLKATA NORTH,WestBengal2021,7
11,Avijit Ghosh,IND,0,Graduate,43,"Rs 8,503 ~ 8 Thou+",Rs 0 ~,KOLKATA NORTH,WestBengal2021,7
12,Bablu Dey,IND,0,8th Pass,32,"Rs 28,457 ~ 28 Thou+",Rs 0 ~,KOLKATA NORTH,WestBengal2021,0
13,Bandyopadhyay Nayna,AITC,2,12th Pass,52,"Rs 7,00,15,752 ~ 7 Crore+","Rs 1,33,300 ~ 1 Lacs+",KOLKATA NORTH,WestBengal2021,0
14,Bapi Paul,Akhil Bharat Hindu Mahasabha,0,Graduate,48,"Rs 23,85,000 ~ 23 Lacs+","Rs 2,00,000 ~ 2 Lacs+",KOLKATA NORTH,WestBengal2021,7
15,Bijnan Kumar Bera,SUCI(C),0,Graduate Professional,61,"Rs 1,11,89,062 ~ 1 Crore+",Rs 0 ~,KOLKATA NORTH,WestBengal2021,0
16,Chhaya Ghosh,IND,0,8th Pass,59,"Rs 1,14,252 ~ 1 Lacs+",Rs 0 ~,KOLKATA NORTH,WestBengal2021,0
17,Chinmoy Biswas,IND,0,12th Pass,30,"Rs 38,637 ~ 38 Thou+",Rs 0 ~,KOLKATA NORTH,WestBengal2021,0
18,Devdutta Maji,BJP,6,12th Pass,41,"Rs 46,51,700 ~ 46 Lacs+","Rs 10,50,000 ~ 10 Lacs+",KOLKATA NORTH,WestBengal2021,0
19,Dilip Das,IND,0,5th Pass,61,"Rs 15,000 ~ 15 Thou+",Rs 0 ~,KOLKATA NORTH,WestBengal2021,0
20,Dip Sankar Naiya,IND,0,Post Graduate,31,"Rs 48,01,233 ~ 48 Lacs+",Rs 0 ~,KOLKATA NORTH,WestBengal2021,0
21,Dr. Shashi Panja,AITC,0,Graduate Professional,58,"Rs 7,33,51,264 ~ 7 Crore+",Rs 0 ~,KOLKATA NORTH,WestBengal2021,0
22,Goutam Prasad,West Bengal Socialist Party,0,Graduate,51,"Rs 11,41,014 ~ 11 Lacs+",Rs 0 ~,KOLKATA NORTH,WestBengal2021,7
23,Ishrat Khan,IND,0,12th Pass,50,"Rs 4,65,442 ~ 4 Lacs+","Rs 10,14,271 ~ 10 Lacs+",KOLKATA NORTH,WestBengal2021,0
24,Jiban Prakash Saha,AIFB,0,12th Pass,71,"Rs 25,59,000 ~ 25 Lacs+",Rs 0 ~,KOLKATA NORTH,WestBengal2021,0
25,Kalyan Chaubey,BJP,0,10th Pass,42,"Rs 3,55,91,219 ~ 3 Crore+","Rs 21,66,289 ~ 21 Lacs+",KOLKATA NORTH,WestBengal2021,0
26,Kashinath Biswas,BJP,1,Graduate Professional,66,"Rs 3,36,77,840 ~ 3 Crore+","Rs 2,85,016 ~ 2 Lacs+",KOLKATA NORTH,WestBengal2021,0
27,Kundan Kumar Shaw,IND,0,12th Pass,37,"Rs 25,44,035 ~ 25 Lacs+","Rs 5,01,000 ~ 5 Lacs+",KOLKATA NORTH,WestBengal2021,0
28,Kush Mahali,IND,0,8th Pass,27,Rs 500 ~ 5 Hund+,Rs 0 ~,KOLKATA NORTH,WestBengal2021,0
29,Manash Chowdhury,IND,0,10th Pass,51,"Rs 10,505 ~ 10 Thou+",Rs 0 ~,KOLKATA NORTH,WestBengal2021,0
30,Manika Paul,SUCI(C),0,Graduate,45,"Rs 11,16,312 ~ 11 Lacs+",Rs 0 ~,KOLKATA NORTH,WestBengal2021,7
31,Md Shakil,IND,0,Illiterate,50,"Rs 5,000 ~ 5 Thou+",Rs 0 ~,KOLKATA NORTH,WestBengal2021,1
32,Md. Enayetullah Ansari,All India Minorities Front,0,Post Graduate,41,"Rs 40,051 ~ 40 Thou+",Rs 0 ~,KOLKATA NORTH,WestBengal2021,0
33,Md. Fayaz,BSP,0,10th Pass,30,"Rs 30,000 ~ 30 Thou+",Rs 0 ~,KOLKATA NORTH,WestBengal2021,0
34,Md. Imran,IND,0,8th Pass,32,"Rs 34,339 ~ 34 Thou+",Rs 0 ~,KOLKATA NORTH,WestBengal2021,0
35,Md. Iqbal Alam,Rashtriya Secular Majlis Party,0,Doctorate,53,"Rs 2,10,78,695 ~ 2 Crore+","Rs 54,63,917 ~ 54 Lacs+",KOLKATA NORTH,WestBengal2021,10
36,Md. Nurul Huda,JD(U),0,8th Pass,28,"Rs 45,000 ~ 45 Thou+",Rs 0 ~,KOLKATA NORTH,WestBengal2021,0
37,Meena Devi Purohit,BJP,3,12th Pass,60,"Rs 64,75,005 ~ 64 Lacs+","Rs 28,11,542 ~ 28 Lacs+",KOLKATA NORTH,WestBengal2021,0
38,Moumita Manna,IND,0,Graduate,27,"Rs 4,87,621 ~ 4 Lacs+","Rs 5,50,000 ~ 5 Lacs+",KOLKATA NORTH,WestBengal2021,7
39,Mousumi Roy,IND,0,8th Pass,39,"Rs 1,30,752 ~ 1 Lacs+",Rs 0 ~,KOLKATA NORTH,WestBengal2021,0
