,Candidate Name,Party,Criminal Cases,Education,Age,Assets,Liabilities,District,Election,EduRank
135,Sahabur Rahaman Kha,IND,0,8th Pass,46,"Rs 1,25,990 ~ 1 Lacs+",Rs 0 ~,MURSHIDABAD,WestBengal2021,0
136,Sahidul Islam (Kalu),SUCI(C),0,Graduate,60,"Rs 26,21,005 ~ 26 Lacs+","Rs 7,500 ~ 7 Thou+",MURSHIDABAD,WestBengal2021,7
137,Sahina Mamtaj,IND,0,5th Pass,43,"Rs 1,03,800 ~ 1 Lacs+",Rs 0 ~,MURSHIDABAD,WestBengal2021,0
138,Sahina Momtaz Khan,AITC,0,10th Pass,55,"Rs 3,80,48,254 ~ 3 Crore+","Rs 40,87,115 ~ 40 Lacs+",MURSHIDABAD,WestBengal2021,0
139,Saiful Islam Molla,CPI(M),1,Post Graduate,65,"Rs 98,35,093 ~ 98 Lacs+","Rs 1,80,000 ~ 1 Lacs+",MURSHIDABAD,WestBengal2021,0
140,Saira Bibi,United Socialist Party,0,8th Pass,45,"Rs 20,68,500 ~ 20 Lacs+",Rs 0 ~,MURSHIDABAD,WestBengal2021,0
141,Sajal Sen,BSP,0,12th Pass,46,"Rs 3,353 ~ 3 Thou+",Rs 0 ~,MURSHIDABAD,WestBengal2021,0
142,Sajjad Hossain,All India Majlis-E-Ittehadul Muslimeen,2,Post Graduate,31,"Rs 24,37,927 ~ 24 Lacs+",Rs 0 ~,MURSHIDABAD,WestBengal2021,0
143,Samik Mandal,IND,0,Post Graduate,50,"Rs 58,40,157 ~ 58 Lacs+","Rs 3,00,000 ~ 3 Lacs+",MURSHIDABAD,WestBengal2021,0
144,Saminul Ansary,IND,0,12th Pass,26,"Rs 17,62,709 ~ 17 Lacs+",Rs 0 ~,MURSHIDABAD,WestBengal2021,0
145,Samsuzzaman(Kajal),SUCI(C),0,Graduate,54,"Rs 16,91,020 ~ 16 Lacs+",Rs 0 ~,MURSHIDABAD,WestBengal2021,7
146,Santa Bhattacherjee,IND,0,10th Pass,45,"Rs 14,19,077 ~ 14 Lacs+",Rs 0 ~,MURSHIDABAD,WestBengal2021,0
147,Sariful Islam,SUCI(C),0,Graduate,39,"Rs 19,06,492 ~ 19 Lacs+","Rs 5,26,418 ~ 5 Lacs+",MURSHIDABAD,WestBengal2021,7
148,Sariful Mandal,Justice and Development Party,0,10th Pass,33,"Rs 76,000 ~ 76 Thou+",Rs 0 ~,MURSHIDABAD,WestBengal2021,0
149,Saumitra Singh,IND,0,10th Pass,34,"Rs 25,780 ~ 25 Thou+",Rs 0 ~,MURSHIDABAD,WestBengal2021,0
150,Seikh Rabiul Alam,BSP,0,Graduate,48,"Rs 10,001 ~ 10 Thou+",Rs 0 ~,MURSHIDABAD,WestBengal2021,7
151,Shafiul Alam Khan (Bonu),INC,5,12th Pass,63,"Rs 74,79,494 ~ 74 Lacs+","Rs 12,14,435 ~ 12 Lacs+",MURSHIDABAD,WestBengal2021,0
152,Shaoni Singha Roy,AITC,1,Graduate,48,"Rs 1,11,07,744 ~ 1 Crore+","Rs 6,07,924 ~ 6 Lacs+",MURSHIDABAD,WestBengal2021,7
153,Sher Alam,Justice and Development Party,2,10th Pass,29,"Rs 1,50,000 ~ 1 Lacs+",Rs 0 ~,MURSHIDABAD,WestBengal2021,0
154,Shiladitya Haldar,INC,11,12th Pass,43,"Rs 5,87,475 ~ 5 Lacs+",Rs 0 ~,MURSHIDABAD,WestBengal2021,0
155,Shyamapada Ghosh,BSP,0,10th Pass,56,"Rs 6,15,856 ~ 6 Lacs+",Rs 0 ~,MURSHIDABAD,WestBengal2021,0
156,Sk M Hasanuzzaman (Bappa),INC,0,Post Graduate,45,"Rs 86,63,399 ~ 86 Lacs+","Rs 10,96,123 ~ 10 Lacs+",MURSHIDABAD,WestBengal2021,0
157,Subir Ghosh,IND,0,Graduate Professional,48,"Rs 26,93,447 ~ 26 Lacs+","Rs 9,58,804 ~ 9 Lacs+",MURSHIDABAD,WestBengal2021,0
158,Subir Kumar Sarkar,Amra Bangalee,0,Graduate,46,"Rs 2,55,500 ~ 2 Lacs+",Rs 0 ~,MURSHIDABAD,WestBengal2021,7
159,Subrata Maitra (Kanchan),BJP,6,Graduate,54,"Rs 50,50,179 ~ 50 Lacs+",Rs 0 ~,MURSHIDABAD,WestBengal2021,7
160,Subrata Saha,AITC,0,Graduate Professional,71,"Rs 8,02,60,320 ~ 8 Crore+","Rs 21,50,089 ~ 21 Lacs+",MURSHIDABAD,WestBengal2021,0
161,Sufal Bagdi,IND,0,10th Pass,37,"Rs 83,749 ~ 83 Thou+",Rs 0 ~,MURSHIDABAD,WestBengal2021,0
162,Sujat Sk,Democratic Socialist Party of India,0,Graduate Professional,33,"Rs 37,509 ~ 37 Thou+",Rs 0 ~,MURSHIDABAD,WestBengal2021,0
163,Sujit Das,BJP,2,Graduate,55,"Rs 89,45,384 ~ 89 Lacs+","Rs 3,467 ~ 3 Thou+",MURSHIDABAD,WestBengal2021,7
164,Sujit Kumar Das,IND,0,Post Graduate,52,"Rs 45,25,623 ~ 45 Lacs+",Rs 0 ~,MURSHIDABAD,WestBengal2021,0
165,Sukhen Haldar,SUCI(C),0,Post Graduate,43,"Rs 49,66,480 ~ 49 Lacs+","Rs 17,24,678 ~ 17 Lacs+",MURSHIDABAD,WestBengal2021,0
166,Sumit Ghosh,BJP,0,Graduate,52,"Rs 1,91,23,244 ~ 1 Crore+",Rs 0 ~,MURSHIDABAD,WestBengal2021,7
167,Supal Murmu,Bahujan Mukti Party,0,8th Pass,41,"Rs 78,937 ~ 78 Thou+",Rs 0 ~,MURSHIDABAD,WestBengal2021,0
168,Swarajit Sarkar,IND,0,10th Pass,54,"Rs 3,12,74,491 ~ 3 Crore+","Rs 16,22,934 ~ 16 Lacs+",MURSHIDABAD,WestBengal2021,0
169,Syed Azizur Hossain(Nashim),IND,1,12th Pass,44,"Rs 9,05,775 ~ 9 Lacs+",Rs 0 ~,MURSHIDABAD,WestBengal2021,0
170,Syed Imran Ali Meerza,IND,0,10th Pass,47,"Rs 5,07,604 ~ 5 Lacs+",Rs 0 ~,MURSHIDABAD,WestBengal2021,0
171,Tanmoy Biswas,BJP,0,Graduate,34,"Rs 71,96,804 ~ 71 Lacs+",Rs 0 ~,MURSHIDABAD,WestBengal2021,7
172,Tipu Sultan,SUCI(C),0,12th Pass,67,"Rs 73,22,449 ~ 73 Lacs+",Rs 0 ~,MURSHIDABAD,WestBengal2021,0
173,Tulu Bala Das,CPI(ML)(L),1,8th Pass,51,"Rs 3,50,500 ~ 3 Lacs+",Rs 0 ~,MURSHIDABAD,WestBengal2021,0
174,Wahed Ansary,IND,0,10th Pass,48,"Rs 3,03,45,239 ~ 3 Crore+",Rs 0 ~,MURSHIDABAD,WestBengal2021,0
0,Abhijit Ghosh,IND,0,Graduate,26,"Rs 58,600 ~ 58 Thou+",Rs 0 ~,NADIA,WestBengal2021,7
1,Abhijit Ghosh,BJP,0,Graduate,45,"Rs 1,07,72,000 ~ 1 Crore+","Rs 1,50,000 ~ 1 Lacs+",NADIA,WestBengal2021,7
2,Abul Kashem,INC,2,10th Pass,52,"Rs 25,52,868 ~ 25 Lacs+",Rs 0 ~,NADIA,WestBengal2021,0
3,Agniv Hira,IND,0,Graduate,26,"Rs 22,464 ~ 22 Thou+",Rs 0 ~,NADIA,WestBengal2021,7
4,Ajoy Dey,AITC,0,Graduate,68,"Rs 54,67,729 ~ 54 Lacs+",Rs 0 ~,NADIA,WestBengal2021,7
5,Alakesh Das,CPI(M),1,Graduate Professional,57,"Rs 72,15,695 ~ 72 Lacs+","Rs 2,86,479 ~ 2 Lacs+",NADIA,WestBengal2021,0
6,Alpana Bandyopadhyay,IND,0,Post Graduate,58,"Rs 80,28,164 ~ 80 Lacs+","Rs 17,00,000 ~ 17 Lacs+",NADIA,WestBengal2021,0
7,Amal Chandra Sarkar,BSP,0,10th Pass,55,"Rs 73,39,500 ~ 73 Lacs+",Rs 0 ~,NADIA,WestBengal2021,0
8,Amal Sarkar,BSP,0,Graduate,41,"Rs 2,17,000 ~ 2 Lacs+",Rs 0 ~,NADIA,WestBengal2021,7
9,Ambika Roy,BJP,1,Graduate Professional,48,"Rs 87,58,083 ~ 87 Lacs+",Rs 0 ~,NADIA,WestBengal2021,0
